ID TIME CPU RAM KB
5 1.004 16.0 70.8 176
5 11.045 1.8 71.4 176
5 21.135 3.8 70.7 180
5 31.166 1.9 70.8 180
5 41.211 1.7 71.0 180
5 51.239 2.2 71.0 180
5 61.266 2.1 71.1 180
5 71.294 1.9 71.3 180
5 81.32 1.9 71.4 180
5 91.405 2.1 71.4 196
5 101.438 2.0 71.7 196
5 111.497 4.8 71.5 208
5 121.577 7.0 71.6 212
5 131.6 3.2 71.6 212
5 141.617 3.7 71.6 212
5 151.632 1.9 71.4 212
5 161.655 6.0 71.5 212
5 171.756 10.8 71.6 212
5 181.786 8.9 71.7 212
5 191.835 9.2 71.8 216
5 201.901 7.2 71.9 220
5 211.933 5.8 71.9 220
5 221.98 6.3 71.8 224
5 232.023 4.7 71.8 224
5 242.048 5.8 71.9 224
5 252.112 6.4 72.0 228
5 262.137 4.8 72.1 228
5 272.179 3.2 72.0 232
5 282.221 4.5 72.1 232
5 292.266 7.4 72.3 236
5 302.289 15.0 72.2 236
5 312.314 6.2 72.3 236
